query,category,db,mean_ms,stddev_ms,min_ms,max_ms
Q01 INSERT – new user row,Insert/Delete/Update,mysql,0.8225,0.9718,0.5003,4.9418
Q02 DELETE – remove user row by PK,Insert/Delete/Update,mysql,0.3613,0.0825,0.2693,0.5741
Q02b DELETE – remove user row by non-PK (DisplayName),Insert/Delete/Update,mysql,0.3681,0.1372,0.2298,0.8203
Q03 UPDATE – change user Reputation by PK,Insert/Delete/Update,mysql,0.4784,0.2901,0.3046,1.574
Q03b UPDATE – change user Reputation by non-PK (DisplayName),Insert/Delete/Update,mysql,0.4095,0.1684,0.1985,1.0008
Q04 SELECT by PK – single key (Posts),PK Lookup,mysql,0.6283,0.224,0.4379,1.4299
Q05 SELECT by PK – range Id BETWEEN ? AND ?+500,PK Range,mysql,2.3845,0.7588,1.4977,4.4016
Q06 SELECT non-key single – Location='United States',Non-key Single Condition,mysql,4.0356,0.9444,3.6895,7.8744
Q07 SELECT non-key compound – PostTypeId+Score+ViewCount,Non-key Compound Condition,mysql,2976.5864,2342.6185,185.2096,5139.5902
Q08 SELECT LIKE – Tags LIKE '%<python>%',LIKE Pattern,mysql,41.7206,17.0119,37.522,113.9911
Q09 JOIN – Posts × Users (Score > 50),2-table JOIN,mysql,13.3738,1.7287,12.0384,20.4391
Q10 JOIN – Comments × Posts × Users (c.Score > 3),3-table JOIN,mysql,50.8091,43.7357,38.2065,236.5646
Q11 Subquery – users with above-avg question score,Subquery,mysql,3481.2586,2011.2561,2854.3432,11959.8288
Q12 GROUP BY PostTypeId – count/avg/min/max/sum,Aggregation (GROUP BY),mysql,4148.5765,343.1707,4035.1373,5601.8743
Q13 Full-text (LIKE fallback) – Body LIKE '%python%',Full-text / LIKE,mysql,19.9223,1.2565,19.1208,23.9692
Q01 INSERT – new user row,Insert/Delete/Update,postgres,0.3822,0.711,0.1764,3.384
Q02 DELETE – remove user row by PK,Insert/Delete/Update,postgres,2525.8022,2189.3426,1787.5281,11727.7344
Q02b DELETE – remove user row by non-PK (DisplayName),Insert/Delete/Update,postgres,1965.9483,186.7123,1811.762,2471.2375
Q03 UPDATE – change user Reputation by PK,Insert/Delete/Update,postgres,0.2484,0.2051,0.1137,0.943
Q03b UPDATE – change user Reputation by non-PK (DisplayName),Insert/Delete/Update,postgres,0.1588,0.0724,0.1239,0.4206
Q04 SELECT by PK – single key (Posts),PK Lookup,postgres,0.7961,1.7496,0.0984,7.7596
Q05 SELECT by PK – range Id BETWEEN ? AND ?+500,PK Range,postgres,8.6402,2.1177,5.6545,13.7856
Q06 SELECT non-key single – Location='United States',Non-key Single Condition,postgres,3.7484,3.4052,2.3913,16.1152
Q07 SELECT non-key compound – PostTypeId+Score+ViewCount,Non-key Compound Condition,postgres,138.5851,292.7372,64.5892,1381.3075
Q08 SELECT LIKE – Tags LIKE '%<python>%',LIKE Pattern,postgres,87.8764,167.7534,14.6535,789.4736
Q09 JOIN – Posts × Users (Score > 50),2-table JOIN,postgres,6.7881,22.8306,1.5213,103.7773
Q10 JOIN – Comments × Posts × Users (c.Score > 3),3-table JOIN,postgres,22.2198,31.9795,14.5795,158.0764
Q11 Subquery – users with above-avg question score,Subquery,postgres,1334.2968,1201.9163,257.4975,3905.5776
Q12 GROUP BY PostTypeId – count/avg/min/max/sum,Aggregation (GROUP BY),postgres,241.8955,150.767,197.212,881.5009
Q13 Full-text (LIKE fallback) – Body LIKE '%python%',Full-text / LIKE,postgres,18.73,1.6607,15.6466,21.6382
